Open,High,Low,Close
345.213867,363.808167,342.35614,359.159607
361.979218,371.733612,358.283234,359.273895
362.36026,362.36026,354.396698,357.825989
358.168915,358.168915,349.976746,352.643982
353.444122,364.875061,350.929321,357.330658
360.455109,364.265411,355.120667,356.263763
356.644806,361.941132,350.624512,352.186737
352.110535,356.339966,344.870941,349.93866
354.091888,364.570221,350.548309,361.674408
362.741272,363.808167,355.311188,356.073242
356.263763,363.503357,350.738831,359.73114
362.741272,373.905487,360.455109,366.018158
370.361908,376.763214,367.618469,369.180695
369.447418,376.839417,361.979218,365.103668
358.207031,361.826813,344.832855,351.729492
350.472107,356.987732,342.927673,351.272247
342.165619,355.882721,325.400269,330.048859
335.307068,341.365448,327.876984,331.115723
329.210571,341.784607,318.160675,337.898071
340.64151,353.215515,333.859161,345.747314
348.947968,352.834473,334.163971,336.145355
339.193573,343.689758,338.355316,339.269806
339.117371,342.203735,324.752533,327.076813
317.017609,321.399445,307.110809,317.055695
null,null,null,null
323.87616,328.448517,318.846558,323.380798
322.35202,325.400269,320.980316,322.96167
322.35202,327.686462,320.142059,321.894775
325.400269,331.877808,322.390137,327.191132
328.448517,329.172485,321.589966,324.257172
320.218262,327.30542,320.218262,324.714417
328.448517,331.268158,326.200439,329.515411
331.496765,336.678772,329.972656,330.963318
322.809265,332.106415,319.303772,328.029388
335.230865,338.355316,331.496765,332.906586
333.401917,333.401917,324.790619,326.162323
323.87616,326.048035,320.9422,322.35202
323.87616,325.324066,316.522247,318.732239
320.218262,329.210571,320.218262,324.37149
326.924408,338.164795,325.438385,333.097107
333.782959,338.660156,329.972656,335.345184
339.117371,342.889587,333.782959,340.069946
342.927673,345.213867,333.897247,335.116547
336.869293,340.908234,336.869293,338.62204
335.421387,341.365448,335.421387,338.050507
341.403564,349.862457,339.955658,342.318024
342.927673,352.072418,339.117371,341.822693
342.96579,345.099548,336.831207,338.355316
338.279114,344.223206,335.497589,342.699066
342.165619,345.937836,342.165619,344.528015
346.661804,352.072418,345.29007,349.976746
351.95813,351.95813,343.308716,344.528015
347.500061,349.786255,336.183441,340.412872
339.117371,344.185089,335.99292,339.498413
343.613556,343.613556,338.355316,340.489105
339.117371,341.975098,335.307068,336.564484
347.119019,361.979218,344.451813,350.891235
354.358612,358.01651,349.32901,351.386566
344.909058,357.673584,344.909058,349.214691
352.072418,354.053772,344.718536,346.966614
350.548309,355.120667,346.776093,353.748962
361.979218,361.979218,352.110535,356.568604
358.168915,361.217163,354.396698,354.853943
357.40686,361.217163,353.139313,356.073242
358.054596,358.168915,351.310364,352.643982
354.358612,356.949615,352.834473,353.558441
357.635468,358.168915,354.434814,356.111359
351.005554,365.027466,351.005554,362.703186
365.027466,365.027466,354.358612,356.149445
352.529663,357.330658,351.119843,352.415344
350.548309,350.548309,341.822693,343.003906
346.738007,350.167267,343.842163,347.728668
349.02417,350.357788,341.784607,343.537323
346.623688,348.643158,342.927673,344.223206
339.117371,348.833679,339.117371,343.918365
344.451813,350.395905,341.822693,346.204559
350.548309,357.40686,341.403564,350.281586
350.548309,350.548309,342.165619,343.156311
344.489929,358.168915,344.07077,354.091888
358.168915,358.168915,346.776093,347.881073
347.461945,350.357788,339.879456,340.832031
342.927673,345.099548,332.25882,333.554321
327.686462,330.582306,313.96936,329.553497
329.972656,331.496765,322.35202,327.686462
321.589966,323.495117,312.826263,314.159851
328.448517,332.25882,317.208099,329.591614
333.782959,333.782959,320.065857,320.904114
317.055695,326.162323,316.255524,321.818573
323.114075,331.34436,322.390137,328.867645
333.935364,336.754974,320.142059,322.428223
320.827911,329.820221,315.493469,324.257172
327.457825,331.382446,319.303772,320.865997
317.589142,321.132721,305.777191,308.253876
312.292816,313.96936,301.014313,302.95755
289.583374,300.099823,285.773071,295.794189
297.394501,309.168365,296.441925,297.356415
290.345428,293.393677,274.342163,276.628326
277.390381,286.154114,259.329529,273.122864
273.503876,280.362427,268.702881,276.475922
278.457275,293.317474,278.457275,287.640137
291.107513,291.107513,284.248962,285.811188
290.345428,290.345428,275.104218,276.628326
278.190552,280.286224,265.426025,272.894226
274.456451,288.668915,274.418365,286.611328
287.297211,294.155762,282.724823,288.783203
277.847626,285.163422,270.989075,281.086395
280.62915,286.49704,280.13382,281.315002
282.724823,285.773071,281.962769,283.715515
283.486877,302.538422,283.486877,300.785675
302.919464,309.396973,297.280212,298.728119
300.290344,315.798309,300.290344,312.140411
